author_id,author_name,author_institution,author_institution_country,summary_stats,h_index,is_elite
https://openalex.org/A5023888505,C. D. Frith,Wellcome Centre for Human Neuroimaging,United Kingdom,"{'2yr_mean_citedness': 0.0, 'h_index': 180, 'i10_index': 425}",180,1
https://openalex.org/A5052145058,Stephen V. Faraone,SUNY Upstate Medical University,United States,"{'2yr_mean_citedness': 15.612244897959183, 'h_index': 180, 'i10_index': 1152}",180,1
https://openalex.org/A5043264677,Daniel R. Weinberger,National Institute of Mental Health,United States,"{'2yr_mean_citedness': 15.426229508196721, 'h_index': 180, 'i10_index': 802}",180,1
https://openalex.org/A5059438505,John C. Reed,Sanford Burnham Prebys Medical Discovery Institute,United States,"{'2yr_mean_citedness': 1.5714285714285714, 'h_index': 180, 'i10_index': 802}",180,1
https://openalex.org/A5041573207,Takashi Taniguchi,The University of Tokyo,Japan,"{'2yr_mean_citedness': 6.338805970149254, 'h_index': 180, 'i10_index': 1508}",180,1
https://openalex.org/A5071798264,Lei Zhang,Hong Kong Polytechnic University,Hong Kong,"{'2yr_mean_citedness': 3.576769339289913, 'h_index': 179, 'i10_index': 4225}",179,1
https://openalex.org/A5035701638,Tao Zhang,University of Birmingham,United Kingdom,"{'2yr_mean_citedness': 4.36051637279597, 'h_index': 179, 'i10_index': 4785}",179,1
https://openalex.org/A5046557560,Joel Schwartz,Harvard University,United States,"{'2yr_mean_citedness': 10.756756756756756, 'h_index': 179, 'i10_index': 888}",179,1
https://openalex.org/A5088998527,David M. Holtzman,,,"{'2yr_mean_citedness': 18.684931506849313, 'h_index': 178, 'i10_index': 516}",178,1
https://openalex.org/A5063481044,Li Liu,Shenzhen University Health Science Center,China,"{'2yr_mean_citedness': 4.104333868378812, 'h_index': 177, 'i10_index': 6019}",177,1
https://openalex.org/A5029360035,Peng Zhang,Tianjin University,China,"{'2yr_mean_citedness': 4.507878787878788, 'h_index': 177, 'i10_index': 4712}",177,1
https://openalex.org/A5037989560,Li Chen,Northwest Normal University,China,"{'2yr_mean_citedness': 4.382898351648351, 'h_index': 177, 'i10_index': 5369}",177,1
https://openalex.org/A5044264078,Peter B. Reich,Minnesota Department of Natural Resources,United States,"{'2yr_mean_citedness': 12.337349397590362, 'h_index': 177, 'i10_index': 700}",177,1
https://openalex.org/A5053011724,Jeroen J. Bax,Leiden University Medical Center,Netherlands,"{'2yr_mean_citedness': 6.837455830388692, 'h_index': 177, 'i10_index': 1374}",177,1
https://openalex.org/A5063630764,John C. Morris,,,"{'2yr_mean_citedness': 5.065326633165829, 'h_index': 177, 'i10_index': 704}",177,1
https://openalex.org/A5059626751,Richard A. Gibbs,Baylor College of Medicine,United States,"{'2yr_mean_citedness': 9.60483870967742, 'h_index': 176, 'i10_index': 724}",176,1
https://openalex.org/A5002163035,Tim D. Spector,King's College London,United Kingdom,"{'2yr_mean_citedness': 27.973333333333333, 'h_index': 176, 'i10_index': 858}",176,1
